Week,Weekly Amount,Total Saved,,Week,Weekly Amount,Total Saved
1,9,9,,27,2,615
2,38,47,,28,33,648
3,8,55,,29,34,682
4,3,58,,30,30,712
5,35,93,,31,37,749
6,17,110,,32,32,781
7,50,160,,33,22,803
8,28,188,,34,12,815
9,7,195,,35,16,831
10,45,240,,36,26,857
11,42,282,,37,20,877
12,15,297,,38,44,921
13,24,321,,39,10,931
14,1,322,,40,43,974
15,18,340,,41,51,1025
16,36,376,,42,25,1050
17,39,415,,43,49,1099
18,23,438,,44,46,1145
19,47,485,,45,52,1197
20,13,498,,46,21,1218
21,5,503,,47,29,1247
22,48,551,,48,40,1287
23,11,562,,49,19,1306
24,6,568,,50,27,1333
25,4,572,,51,14,1347
26,41,613,,52,31,1378
