Indicator,Country,Date,value
Cumulative number of confirmed Ebola cases,Guinea,8/29/14,482
Cumulative number of probable Ebola cases,Guinea,8/29/14,141
Cumulative number of suspected Ebola cases,Guinea,8/29/14,25
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/29/14,648
Cumulative number of confirmed Ebola cases,Liberia,8/29/14,322
Cumulative number of probable Ebola cases,Liberia,8/29/14,674
Cumulative number of suspected Ebola cases,Liberia,8/29/14,382
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/29/14,1378
Cumulative number of confirmed Ebola cases,Sierra Leone,8/29/14,935
Cumulative number of probable Ebola cases,Sierra Leone,8/29/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,8/29/14,54
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/29/14,1026
Cumulative number of confirmed Ebola cases,Nigeria,8/29/14,15
Cumulative number of probable Ebola cases,Nigeria,8/29/14,1
Cumulative number of suspected Ebola cases,Nigeria,8/29/14,3
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,8/29/14,19
Number of confirmed Ebola cases in the last 21 days,Guinea,8/29/14,131
Number of probable Ebola cases in the last 21 days,Guinea,8/29/14,7
Number of suspected Ebola cases in the last 21 days,Guinea,8/29/14,20
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,8/29/14,158
Number of confirmed Ebola cases in the last 21 days,Liberia,8/29/14,192
Number of probable Ebola cases in the last 21 days,Liberia,8/29/14,423
Number of suspected Ebola cases in the last 21 days,Liberia,8/29/14,251
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,8/29/14,866
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,8/29/14,308
Number of probable Ebola cases in the last 21 days,Sierra Leone,8/29/14,4
Number of suspected Ebola cases in the last 21 days,Sierra Leone,8/29/14,19
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,8/29/14,331
Number of confirmed Ebola cases in the last 21 days,Nigeria,8/29/14,6
Number of probable Ebola cases in the last 21 days,Nigeria,8/29/14,1
Number of suspected Ebola cases in the last 21 days,Nigeria,8/29/14,3
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,8/29/14,10
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,8/29/14,27
Proportion of probable Ebola cases that are from the last 21 days,Guinea,8/29/14,5
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,8/29/14,80
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,8/29/14,24
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,8/29/14,60
Proportion of probable Ebola cases that are from the last 21 days,Liberia,8/29/14,63
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,8/29/14,66
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,8/29/14,63
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,8/29/14,33
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,8/29/14,11
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,8/29/14,35
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,8/29/14,32
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,8/29/14,40
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,8/29/14,100
Proportion of suspected Ebola cases that are from the last 21 days,Nigeria,8/29/14,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,8/29/14,53
Cumulative number of confirmed Ebola deaths,Guinea,8/29/14,287
Cumulative number of probable Ebola deaths,Guinea,8/29/14,141
Cumulative number of suspected Ebola deaths,Guinea,8/29/14,2
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/29/14,430
Cumulative number of confirmed Ebola deaths,Liberia,8/29/14,225
Cumulative number of probable Ebola deaths,Liberia,8/29/14,301
Cumulative number of suspected Ebola deaths,Liberia,8/29/14,168
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/29/14,694
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/29/14,380
Cumulative number of probable Ebola deaths,Sierra Leone,8/29/14,34
Cumulative number of suspected Ebola deaths,Sierra Leone,8/29/14,8
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/29/14,422
Cumulative number of confirmed Ebola deaths,Nigeria,8/29/14,6
Cumulative number of probable Ebola deaths,Nigeria,8/29/14,1
Cumulative number of suspected Ebola deaths,Nigeria,8/29/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,8/29/14,7
Number of confirmed Ebola deaths in the last 21 days,Guinea,8/29/14,8
Number of probable Ebola deaths in the last 21 days,Guinea,8/29/14,0
Number of suspected Ebola deaths in the last 21 days,Guinea,8/29/14,0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Guinea,8/29/14,8
Number of confirmed Ebola deaths in the last 21 days,Liberia,8/29/14,16
Number of probable Ebola deaths in the last 21 days,Liberia,8/29/14,24
Number of suspected Ebola deaths in the last 21 days,Liberia,8/29/14,14
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Liberia,8/29/14,54
Number of confirmed Ebola deaths in the last 21 days,Sierra Leone,8/29/14,35
Number of probable Ebola deaths in the last 21 days,Sierra Leone,8/29/14,2
Number of suspected Ebola deaths in the last 21 days,Sierra Leone,8/29/14,2
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Sierra Leone,8/29/14,39
Number of confirmed Ebola deaths in the last 21 days,Nigeria,8/29/14,4
Number of probable Ebola deaths in the last 21 days,Nigeria,8/29/14,0
Number of suspected Ebola deaths in the last 21 days,Nigeria,8/29/14,0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Nigeria,8/29/14,4
Proportion of confirmed Ebola deaths that are from the last 21 days,Guinea,8/29/14,3
Proportion of probable Ebola deaths that are from the last 21 days,Guinea,8/29/14,0
Proportion of suspected Ebola deaths that are from the last 21 days,Guinea,8/29/14,0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Guinea,8/29/14,2
Proportion of confirmed Ebola deaths that are from the last 21 days,Liberia,8/29/14,7
Proportion of probable Ebola deaths that are from the last 21 days,Liberia,8/29/14,8
Proportion of suspected Ebola deaths that are from the last 21 days,Liberia,8/29/14,8
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Liberia,8/29/14,8
Proportion of confirmed Ebola deaths that are from the last 21 days,Sierra Leone,8/29/14,9
Proportion of probable Ebola deaths that are from the last 21 days,Sierra Leone,8/29/14,6
Proportion of suspected Ebola deaths that are from the last 21 days,Sierra Leone,8/29/14,25
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Sierra Leone,8/29/14,9
Proportion of confirmed Ebola deaths that are from the last 21 days,Nigeria,8/29/14,67
Proportion of probable Ebola deaths that are from the last 21 days,Nigeria,8/29/14,0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Nigeria,8/29/14,57
Case fatality rate (CFR) of confirmed Ebola cases,Guinea,8/29/14,60
Case fatality rate (CFR) of probable Ebola cases,Guinea,8/29/14,100
Case fatality rate (CFR) of suspected Ebola cases,Guinea,8/29/14,8
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,8/29/14,66
Case fatality rate (CFR) of confirmed Ebola cases,Liberia,8/29/14,70
Case fatality rate (CFR) of probable Ebola cases,Liberia,8/29/14,45
Case fatality rate (CFR) of suspected Ebola cases,Liberia,8/29/14,44
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,8/29/14,50
Case fatality rate (CFR) of confirmed Ebola cases,Sierra Leone,8/29/14,41
Case fatality rate (CFR) of probable Ebola cases,Sierra Leone,8/29/14,92
Case fatality rate (CFR) of suspected Ebola cases,Sierra Leone,8/29/14,15
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Sierra Leone,8/29/14,41
Case fatality rate (CFR) of confirmed Ebola cases,Nigeria,8/29/14,40
Case fatality rate (CFR) of probable Ebola cases,Nigeria,8/29/14,100
Case fatality rate (CFR) of suspected Ebola cases,Nigeria,8/29/14,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,8/29/14,37
Cumulative number of confirmed Ebola cases,Guinea,9/5/14,604
Cumulative number of probable Ebola cases,Guinea,9/5/14,152
Cumulative number of suspected Ebola cases,Guinea,9/5/14,56
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,9/5/14,812
Cumulative number of confirmed Ebola cases,Liberia,9/5/14,614
Cumulative number of probable Ebola cases,Liberia,9/5/14,888
Cumulative number of suspected Ebola cases,Liberia,9/5/14,369
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,9/5/14,1871
Cumulative number of confirmed Ebola cases,Sierra Leone,9/5/14,1146
Cumulative number of probable Ebola cases,Sierra Leone,9/5/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,9/5/14,78
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,9/5/14,1261
Cumulative number of confirmed Ebola cases,Nigeria,9/5/14,18
Cumulative number of probable Ebola cases,Nigeria,9/5/14,1
Cumulative number of suspected Ebola cases,Nigeria,9/5/14,3
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,9/5/14,22
Cumulative number of confirmed Ebola cases,Senegal,9/5/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,9/5/14,1
Number of confirmed Ebola cases in the last 21 days,Guinea,9/5/14,226
Number of probable Ebola cases in the last 21 days,Guinea,9/5/14,19
Number of suspected Ebola cases in the last 21 days,Guinea,9/5/14,44
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,9/5/14,289
Number of confirmed Ebola cases in the last 21 days,Liberia,9/5/14,414
Number of probable Ebola cases in the last 21 days,Liberia,9/5/14,444
Number of suspected Ebola cases in the last 21 days,Liberia,9/5/14,179
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,9/5/14,1037
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,9/5/14,396
Number of probable Ebola cases in the last 21 days,Sierra Leone,9/5/14,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,9/5/14,37
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,9/5/14,433
Number of confirmed Ebola cases in the last 21 days,Nigeria,9/5/14,7
Number of probable Ebola cases in the last 21 days,Nigeria,9/5/14,0
